token	count	example_source
fvar3	784	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:137375
tscaleiterator	784	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:233366
group	784	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:159
x37	782	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:188
instr_wt.vi	781	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:887
xaf8	780	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:567
x23	780	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:2332
fun_21185a00	780	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:31760
ver.	780	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78358
cmnd	780	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78358
rev#	778	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:874
extraout_var_01	776	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:546
nstd	774	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:97463
see	773	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52350
zlib	771	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/LC103_Final_Cal_LC103_configData.nce.txt:5
qr	771	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:597
x48	767	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_LVDEVICE_DLL_decomp_full.txt:483
indicators	766	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/COMMAND_PROMPT_SNIPPETS.md:139
press	765	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:722
f_f	765	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:34935
x789	762	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:264846
hardware	762	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
fvfwfu	762	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:34933
describe	761	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:53001
compressed	760	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/Final_Cal.zip.txt:5
pcvar4	760	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:62200
x3d6	760	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:147442
before	760	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:343
pdvar5	758	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:50220
dat_212191c0	756	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:56878
pq	756	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:434
wwww	756	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:37212
uf	755	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:726
ivar14	754	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:67249
d8636	748	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:20
fvar2	748	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:125867
cpst	747	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52932
iuvi	747	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:597681
fun_210978c0	746	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:112955
communications.vi	746	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52698
session.	743	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:281
conditions	743	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
communicate	742	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:281
dc0	741	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:317
red	740	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:726
x8000	739	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:269
t0	739	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:613
be0	738	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_calls_full.csv:554
sh	738	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:1066
x66	734	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:23752
operator	732	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:3824
x54	732	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:4251
x52	732	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:19873
d90	731	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:207
normally	731	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:53001
settling	730	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:32447
undefined8	730	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:53313
lvsb	728	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:33
fun_21136340	726	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:528
puvar10	724	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_LVDEVICE_DLL_decomp_full.txt:711
x66bc	724	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:53344
otherwise	723	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52529
pcvar10	722	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:71550
local_d4.maxcount	720	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17862
zyqr	720	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:361185
cancel	719	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:128
x163	718	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:70072
local	716	/Users/<user>/LC103/2026-02-24_full_decompile_run2/DECOMPILE_SUMMARY.md:35
x4a	715	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:129
prompt	712	/Users/<user>/LC103/2026-02-24_full_decompile_run2/DECOMPILE_SUMMARY.md:14
qv	711	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:1617
detected	710	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:848
specific	710	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:47928
dthp	708	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:361810
dst	707	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:98370
x41	704	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:37
pdvar3	704	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:191525
ringer.vi	703	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:6
want	703	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:107
ae0	702	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:3251
instruments	699	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/Source_LV5_1_Fluke_8840A.vi.txt:5
xdf	698	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:52132
descriptor	696	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:47622
cancelled	696	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:51124
yxwh	696	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:53906
alt	695	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48180
reads	694	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:975
version	693	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/LC103_simplified_operating_instructions_(pull_chart).pdf.txt:5
codem	693	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54524
slot	693	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58909
d00	691	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:3569
puvar22	690	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:333651
dma	690	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:349667
async	690	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:56161
old	689	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/Old_Cal_Files_P071_03.CAL.txt:1
clock	689	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:45951
final_cal_103fin.exe.strings.txt	689	/Users/<user>/LC103/software_decompile_2026-02-24/labview_extract/LC103_FINAL_CAL_PROMPT_REBUILD.md:285
d8844	688	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:1598
e60	688	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:2086
p2	688	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:9153
x94	686	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:4564
milliseconds	684	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:71084
ec6fb	682	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:42849
occurrence	682	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:46517
create	681	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:91
hl	681	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58
l0	681	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:1838
vi#instr	681	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58723
pivar12	680	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:61787
ab0	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:3913
ndrclientinitializenew	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17635
ndrgetbuffer	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17638
ndrsendreceive	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17641
ndrconvert	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17643
ndrfreebuffer	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17663
rv	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:774
e_	678	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:2616
psvar10	676	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:60884
x94e	676	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:286604
box.	675	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:340
a80	674	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:12382
x29	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:2582
rpc_message	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17622
midl_stub_message	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17623
pmidl_stub_desc	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17635
ptr_dat_211da310	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17635
local_100.datarepresentation	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17642
pmidl_stub_message	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17663
hshk.	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54802
expec.	672	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:97458
psvar8	670	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:72858
pvvar1	668	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:83753
fun_2100dee0	666	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:16666
other	666	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:316
svw	666	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:37608
d73b0	664	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:84162
st_read.vi	664	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:15
v.vi	664	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:72
pp	663	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:2380
wh	663	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:3544
deviation.vi	663	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52678
explain	662	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:361417
c60	661	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:73
strlen	661	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:84
indicated	661	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57170
b09	660	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:2231
ver#_sav.vi	660	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict.txt:3
string.	660	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52011
x42	658	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:1021
x957	658	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:264949
connection	658	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/COMMAND_PROMPT_SNIPPETS.md:134
xon/xoff	658	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54814
svar16	654	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:258240
about	653	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:343
unique	651	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:281
i/o.	649	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:281
d876c	646	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:22690
equal	645	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
lpdword	644	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:931
xf7	644	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:53009
x157	644	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:156418
etpu	642	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:155423
leadopen.vi	641	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:118
monnie	641	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54016
cb0	640	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:3334
tahoma	639	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:597541
fun_21067100	638	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:72608
location	638	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:279826
gain	638	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:734
chars.	637	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:111801
wp	636	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:379
ls	635	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:37
od	635	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:87
d8642	634	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:15
many	633	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:78398
testii.vi	633	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:316312
unreachable	632	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:35
x1	631	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:60152
files	630	/Users/<user>/LC103/2026-02-24_full_decompile_run2/DECOMPILE_SUMMARY.md:5
xffffd8ed	630	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:96312
mdssimpdiginterpreter	630	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:103849
e50	628	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:3390
removing	627	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:35
re	627	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:1954
fun_21136310	626	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:527
t'	626	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:71277
puvar17	626	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:191883
fun_211d73b0	624	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:329040
addresse	624	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58371
longvalue	624	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58749
pdvar11	622	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:62299
local_80	620	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:103036
outu	620	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:81019
x45	619	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:3691
puvar25	618	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:200108
add	616	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:161
cfc20	616	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:37929
fun_21183e00	616	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:436
x06n	616	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17759
meet	615	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
rdng?	615	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:97937
leadshrt.vi	614	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52704
out.	613	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:53008
dde	612	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:2516
bn	612	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17759
containing	612	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:1050
non-zero	612	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:74843
valid	611	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
hidden	611	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:47377
ea0	610	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:2433
config	610	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:51100
generic	609	/Users/<user>/LC103/2026-02-24_full_decompile_run2/manifests/coverage_matrix.tsv:15
panel	609	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:66
xfffffffe	608	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17948
elmtnum	608	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:28
ram	606	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:35
measurement	606	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:866
x51	605	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:22558
local_88	604	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:546
x1d	604	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:2062
x43	604	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:3612
x01	604	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17643
fun_21146c41	604	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:42719
ff0	603	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_calls_full.csv:243
comm	603	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:79480
xfffffffc	602	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:17885
gdi	600	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_functions_full.csv:119
pw	600	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:2763
stringpth0	599	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78299
fun_21002400	598	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:770
pass/fail	598	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:1264
